t_h,T_c,alpha_c,q_c
0.0,296.433,0.0,31.724226
0.080267556,296.28067,6.253272e-05,33.314037
0.16053511,296.1592,0.00012871623,35.555553
0.24080266,296.06995,0.00020001084,38.546165
0.32107022,296.0138,0.0002778247,42.40871
0.40133774,295.99167,0.00036408752,47.29747
0.48160532,296.00433,0.0004608333,53.405304
0.5618729,296.05234,0.0005707219,60.972958
0.64214045,296.13608,0.0006968826,70.30083
0.722408,296.25598,0.00084296614,81.762184
0.8026755,296.41208,0.0010135621,95.82185
0.8829431,296.60446,0.0012141988,113.05677
0.96321064,296.83304,0.0014516562,134.18333
1.0434781,297.09747,0.0017342791,160.08868
1.1237458,297.3974,0.0020722374,191.86948
1.2040132,297.73227,0.0024781004,230.87631
1.2842809,298.1015,0.002967462,278.76776
1.3645484,298.50427,0.003559202,337.5667
1.444816,298.93973,0.0042766333,409.7215
1.5250835,299.40677,0.005148232,498.17236
1.605351,299.90445,0.0062086806,606.3963
1.6856186,300.43134,0.007499911,738.4499
1.7658862,300.98615,0.009072095,898.9523
1.8461537,301.56738,0.01098495,1093.024
1.9264213,302.17355,0.013308413,1326.13
2.0066888,302.80286,0.01612296,1603.7843
2.0869563,303.45358,0.01951944,1931.122
2.167224,304.12375,0.023597836,2312.306
2.2474916,304.81146,0.028464645,2749.7742
2.327759,305.5146,0.0342284,3243.4329
2.4080265,306.2308,0.040994972,3789.8835
2.4882944,306.95798,0.048859596,4381.875
2.5685618,307.69363,0.05789972,5008.1216
2.6488292,308.43542,0.06816755,5653.691
2.729097,309.1809,0.07968364,6300.9287
2.8093643,309.92734,0.09243291,6930.8354
2.889632,310.67236,0.10636378,7524.6924
2.9698997,311.4132,0.12139046,8065.632
3.050167,312.14737,0.13739648,8539.822
3.1304345,312.87225,0.15424356,8937.285
3.210702,313.5852,0.17177728,9252.056
3.2909698,314.2839,0.18983564,9482.002
3.3712373,314.96573,0.20825619,9628.282
3.4515047,315.6284,0.22688076,9694.667
3.5317724,316.26974,0.24556059,9686.83
3.61204,316.8876,0.2641593,9611.684
3.6923075,317.4801,0.2825545,9476.827
3.7725751,318.0453,0.30063877,9290.125
3.8528426,318.58163,0.31831962,9059.361
3.93311,319.08768,0.33551946,8792.024
4.0133777,319.56223,0.3521749,8495.152
4.093645,320.00415,0.36823517,8175.238
4.1739125,320.4127,0.38366184,7838.1943
4.2541804,320.78717,0.39842707,7489.312
4.334448,321.1272,0.41251242,7133.29
4.4147153,321.43262,0.4259085,6774.2393
4.494983,321.70337,0.43861288,6415.712
4.5752506,321.93976,0.4506294,6060.7476
4.655518,322.1421,0.46196783,5711.905
4.7357855,322.31104,0.47264183,5371.2993
4.816053,322.44727,0.48266897,5040.651
4.8963213,322.55173,0.49206996,4721.3184
4.9765887,322.62546,0.5008675,4414.3496
5.056856,322.66962,0.50908613,4120.502
5.1371236,322.68552,0.5167519,3840.2854
5.217391,322.6744,0.52389103,3573.9968
5.2976584,322.63776,0.5305309,3321.7437
5.377926,322.57706,0.53669816,3083.483
5.458194,322.4938,0.5424201,2859.032
5.538461,322.38956,0.54772246,2648.1025
5.6187286,322.26578,0.55263126,2450.3135
5.6989965,322.124,0.5571712,2265.214
5.779264,321.96576,0.56136656,2092.302
5.8595314,321.7924,0.5652399,1931.0283
5.9397993,321.6054,0.5688136,1780.82
6.0200667,321.4061,0.5721079,1641.091
6.100334,321.1957,0.5751427,1511.244
6.1806016,320.97562,0.57793653,1390.6827
6.260869,320.74683,0.5805063,1278.8207
6.3411365,320.51047,0.58286875,1175.0812
6.421404,320.26752,0.58503866,1078.909
6.5016723,320.01898,0.5870301,989.76764
6.5819397,319.76575,0.58885634,907.14294
6.662207,319.50854,0.5905292,830.5464
6.7424746,319.24823,0.59205985,759.51624
6.822742,318.98532,0.5934588,693.6159
6.9030094,318.72052,0.5947352,632.4374
6.9832773,318.45435,0.59589815,575.5976
7.0635448,318.18735,0.59695554,522.7403
7.143812,317.91995,0.5979145,473.5347
7.22408,317.6526,0.5987822,427.67242
7.3043475,317.3856,0.59956425,384.8704
7.384615,317.11923,0.6002667,344.86627
7.464883,316.8539,0.60089463,307.4187
7.5451503,316.58984,0.60145265,272.30682
7.6254177,316.3272,0.60194516,239.32704
7.705685,316.06616,0.60237604,208.29175
7.7859526,315.80698,0.6027487,179.03123
7.86622,315.5497,0.6030669,151.39062
7.9464874,315.29456,0.60333306,125.22646
8.026755,315.04156,0.6035502,100.41034
8.107023,314.79083,0.60372066,76.82273
8.18729,314.54245,0.60384697,54.35892
8.267558,314.29645,0.6039309,32.92039
8.347825,314.0529,0.60397434,12.41722
8.428093,313.81186,0.6039791,-7.228305
8.508361,313.5733,0.60394686,-26.090277
8.588629,313.33725,0.6038792,-44.233166
8.668896,313.1037,0.60377693,-61.71833
8.749164,312.87274,0.60364175,-78.59814
8.829431,312.64435,0.6034745,-94.92143
8.9096985,312.41843,0.60327625,-110.732185
8.989966,312.1951,0.6030481,-126.06941
9.070234,311.97424,0.60279095,-140.96747
9.150501,311.75583,0.6025053,-155.46114
9.230768,311.53998,0.6021922,-169.57779
9.311036,311.32657,0.6018522,-183.34253
9.391304,311.11557,0.60148597,-196.77977
9.471571,310.90692,0.6010941,-209.90944
9.551839,310.70084,0.60067743,-222.74979
9.632106,310.49692,0.6002362,-235.3178
9.712374,310.29547,0.59977114,-247.62895
9.792643,310.09625,0.5992822,-259.6965
9.87291,309.8993,0.5987706,-271.53113
9.953177,309.70465,0.59823626,-283.1442
10.033444,309.5122,0.59767973,-294.54556
10.113712,309.3219,0.5971017,-305.7419
10.193979,309.13376,0.5965019,-316.743
10.274247,308.94788,0.5958812,-327.55402
10.354515,308.76395,0.59524,-338.18008
10.434782,308.58218,0.59457844,-348.62695
10.51505,308.40247,0.5938969,-358.89944
10.595317,308.22476,0.5931959,-369.0009
10.675585,308.04907,0.59247535,-378.9357
10.755852,307.87534,0.59173596,-388.706
10.83612,307.70352,0.5909777,-398.31485
10.916388,307.53375,0.5902015,-407.76398
10.9966545,307.36575,0.5894067,-417.05652
11.076922,307.1997,0.5885946,-426.19296
11.157189,307.03546,0.587765,-435.17496
11.237457,306.87308,0.5869182,-444.00473
11.317726,306.7125,0.5860543,-452.6828
11.397993,306.5537,0.58517396,-461.20966
11.478261,306.3966,0.58427745,-469.587
11.558528,306.2413,0.5833649,-477.8135
11.638796,306.0877,0.58243656,-485.8929
11.719063,305.9358,0.58149296,-493.8226
11.799331,305.78558,0.5805341,-501.60446
11.879599,305.637,0.5795606,-509.23828
11.959866,305.49005,0.57857215,-516.7257
12.040134,305.34476,0.57756966,-524.0647
12.120401,305.20102,0.576553,-531.257
12.200669,305.0589,0.57552296,-538.3018
12.280937,304.9183,0.5744792,-545.2002
12.361204,304.77927,0.57342243,-551.9511
12.441472,304.6417,0.57235277,-558.55585
12.521739,304.50574,0.5712707,-565.01294
12.602007,304.37115,0.5701759,-571.3243
12.682274,304.23807,0.56906945,-577.4897
12.762543,304.1065,0.56795096,-583.5074
12.842811,303.97635,0.56682134,-589.38025
12.923078,303.84753,0.5656804,-595.10535
13.0033455,303.7202,0.5645284,-600.68524
13.083612,303.5942,0.56336594,-606.1189
13.16388,303.4697,0.56219333,-611.407
13.244148,303.3464,0.5610106,-616.5495
13.324415,303.22458,0.5598181,-621.5472
13.404683,303.104,0.5586157,-626.40094
13.48495,302.98468,0.5574045,-631.1083
13.565218,302.86676,0.55618435,-635.67224
13.645485,302.75012,0.55495566,-640.0914
13.725753,302.6347,0.55371827,-644.36816
13.806021,302.52048,0.5524729,-648.5012
13.886288,302.40762,0.5512199,-652.4912
13.966556,302.2959,0.5499591,-656.3403
14.046823,302.18542,0.5486912,-660.04663
14.12709,302.0761,0.54741615,-663.6131
14.207357,301.96802,0.5461344,-667.03796
14.287626,301.86115,0.5448463,-670.32355
14.367894,301.7553,0.5435518,-673.47107
14.448161,301.65073,0.5422515,-676.4792
14.528429,301.54727,0.5409456,-679.34973
14.608696,301.4449,0.5396342,-682.0847
14.688964,301.3436,0.53831786,-684.6822
14.769232,301.2435,0.5369965,-687.1452
14.849499,301.1444,0.5356703,-689.47485
14.929767,301.0464,0.5343399,-691.6709
15.010034,300.9494,0.5330056,-693.7352
15.0903015,300.85352,0.5316673,-695.66833
15.170568,300.75867,0.5303253,-697.4715
15.250836,300.66483,0.52898014,-699.1454
15.331104,300.57196,0.52763164,-700.692
15.411371,300.48016,0.5262806,-702.11127
15.491639,300.3893,0.5249266,-703.40515
15.571906,300.29944,0.5235705,-704.5751
15.652175,300.21054,0.52221215,-705.62195
15.732441,300.1226,0.52085197,-706.5472
15.81271,300.03564,0.51949006,-707.35223
15.892978,299.9496,0.5181266,-708.03796
15.973245,299.86447,0.51676196,-708.607
16.053513,299.7802,0.5153965,-709.0591
16.13378,299.69696,0.51403034,-709.3965
16.214046,299.61453,0.51266354,-709.62006
16.294313,299.53302,0.51129645,-709.7319
16.374582,299.45233,0.50992906,-709.7337
16.454851,299.3725,0.50856197,-709.6265
16.535118,299.29364,0.5071953,-709.41125
16.615385,299.2155,0.50582874,-709.0915
16.695652,299.13828,0.5044631,-708.66693
16.77592,299.06186,0.50309825,-708.14
16.856188,298.9862,0.5017347,-707.51196
16.936455,298.91144,0.50037265,-706.78326
17.016724,298.8374,0.4990117,-705.95874
17.09699,298.76416,0.49765262,-705.0365
