Time_s,Time_h,T1_Temp,T2_Temp,T3_Temp,T4_Temp,T5_Temp,T6_Temp,T7_Temp,T8_Temp,T9_Temp,T10_Temp
0.000000,0.000000,24.144760,16.767792,26.669666,29.188515,29.194748,31.693649,34.192581,36.693672,39.192672,31.788193
2979.310303,0.827586,90.229324,90.231659,91.181080,92.119324,93.731033,93.841721,93.951004,94.060821,94.170380,94.172562
5958.620605,1.655172,98.675613,98.677521,99.462860,100.230049,101.527649,101.616081,101.702682,101.790092,101.877014,101.878891
8937.930664,2.482759,105.353928,105.355499,105.942341,106.510605,107.460251,107.524506,107.587143,107.650467,107.713409,107.714752
11917.241211,3.310345,110.179230,110.180267,110.586632,110.977608,111.625366,111.669106,111.711410,111.754272,111.797012,111.797852
14896.551758,4.137931,113.442505,113.443207,113.710083,113.965553,114.386597,114.414932,114.442337,114.470055,114.497665,114.498215
17875.861328,4.965517,115.551910,115.552399,115.721508,115.882980,116.148224,116.166000,116.183136,116.200562,116.217957,116.218353
20855.171875,5.793103,116.875900,116.876190,116.981087,117.081001,117.244629,117.255623,117.266205,117.276955,117.287628,117.287796
23834.482422,6.620689,117.691483,117.691681,117.755768,117.816833,117.916672,117.923378,117.929794,117.936340,117.942856,117.942963
26813.792969,7.448276,118.188324,118.188324,118.227219,118.264221,118.324554,118.328606,118.332550,118.336548,118.340469,118.340576
29793.103516,8.275862,118.488663,118.488739,118.512249,118.534523,118.570908,118.573334,118.575745,118.578072,118.580490,118.580475
32772.414062,9.103448,118.669647,118.669678,118.683743,118.697159,118.718979,118.720482,118.721848,118.723320,118.724716,118.724747
35751.722656,9.931034,118.778381,118.778351,118.786724,118.794746,118.807953,118.808815,118.809616,118.810478,118.811386,118.811386
38731.035156,10.758621,118.843460,118.843506,118.848557,118.853401,118.861252,118.861755,118.862244,118.862778,118.863281,118.863312
41710.343750,11.586206,118.882492,118.882477,118.885555,118.888481,118.893158,118.893494,118.893814,118.894119,118.894363,118.894409
44689.656250,12.413794,118.905914,118.905914,118.907726,118.909485,118.912201,118.912460,118.912674,118.912834,118.913010,118.913010
47668.964844,13.241379,118.919952,118.919983,118.920979,118.921989,118.923691,118.923782,118.923904,118.924004,118.924133,118.924164
50648.277344,14.068966,118.928253,118.928253,118.928978,118.929489,118.930557,118.930573,118.930634,118.930679,118.930786,118.930786
53627.585938,14.896552,118.933273,118.933289,118.933666,118.934052,118.934692,118.934731,118.934753,118.934753,118.934860,118.934891
56606.898438,15.724138,118.936310,118.936310,118.936520,118.936745,118.937088,118.937126,118.937149,118.937172,118.937225,118.937225
59586.207031,16.551723,118.938080,118.938080,118.938305,118.938393,118.938538,118.938560,118.938599,118.938599,118.938614,118.938614
62565.515625,17.379311,118.939178,118.939178,118.939312,118.939384,118.939438,118.939461,118.939468,118.939491,118.939514,118.939514
65544.828125,18.206896,118.939819,118.939819,118.939827,118.939903,118.940033,118.940033,118.940033,118.940048,118.940063,118.940063
68524.140625,19.034483,118.940216,118.940216,118.940308,118.940300,118.940323,118.940323,118.940338,118.940338,118.940353,118.940353
71503.445312,19.862068,118.940430,118.940430,118.940407,118.940475,118.940521,118.940506,118.940506,118.940521,118.940521,118.940521
74482.757812,20.689655,118.940582,118.940582,118.940674,118.940666,118.940674,118.940674,118.940659,118.940674,118.940674,118.940674
77462.070312,21.517242,118.940765,118.940765,118.940769,118.940788,118.940781,118.940781,118.940781,118.940781,118.940781,118.940781
80441.382812,22.344828,118.940765,118.940765,118.940765,118.940765,118.940781,118.940781,118.940781,118.940765,118.940765,118.940765
83420.687500,23.172413,118.940796,118.940796,118.940796,118.940796,118.940811,118.940826,118.940826,118.940826,118.940826,118.940826
86400.000000,24.000000,118.940826,118.940826,118.940830,118.940857,118.940826,118.940826,118.940826,118.940826,118.940826,118.940826
