Time_s,Time_h,T1_Alpha,T2_Alpha,T3_Alpha,T4_Alpha,T5_Alpha,T6_Alpha,T7_Alpha,T8_Alpha,T9_Alpha,T10_Alpha
0.000000,0.000000,1.203038,1.223696,1.321898,1.440078,1.155104,1.415027,1.673589,1.931110,2.186964,2.208728
2979.310303,0.827586,-3.353635,-3.368962,-3.352373,-3.351129,-3.358780,-3.353634,-3.348655,-3.343841,-3.339187,-3.353053
5958.620605,1.655172,-3.248675,-3.252055,-3.248395,-3.248119,-3.249771,-3.248648,-3.247571,-3.246543,-3.245556,-3.248522
8937.930664,2.482759,-3.228314,-3.228921,-3.228263,-3.228213,-3.228509,-3.228308,-3.228115,-3.227931,-3.227754,-3.228287
11917.241211,3.310345,-3.224722,-3.224827,-3.224713,-3.224705,-3.224756,-3.224721,-3.224688,-3.224656,-3.224625,-3.224717
14896.551758,4.137931,-3.224101,-3.224119,-3.224099,-3.224099,-3.224107,-3.224101,-3.224094,-3.224089,-3.224085,-3.224100
17875.861328,4.965517,-3.223995,-3.223997,-3.223995,-3.223994,-3.223995,-3.223995,-3.223993,-3.223993,-3.223992,-3.223996
20855.171875,5.793103,-3.223977,-3.223977,-3.223977,-3.223976,-3.223977,-3.223977,-3.223977,-3.223976,-3.223976,-3.223977
23834.482422,6.620689,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223973,-3.223973,-3.223974
26813.792969,7.448276,-3.223973,-3.223974,-3.223973,-3.223973,-3.223973,-3.223973,-3.223973,-3.223973,-3.223973,-3.223973
29793.103516,8.275862,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
32772.414062,9.103448,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
35751.722656,9.931034,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
38731.035156,10.758621,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
41710.343750,11.586206,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
44689.656250,12.413794,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
47668.964844,13.241379,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
50648.277344,14.068966,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
53627.585938,14.896552,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
56606.898438,15.724138,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
59586.207031,16.551723,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
62565.515625,17.379311,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
65544.828125,18.206896,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
68524.140625,19.034483,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
71503.445312,19.862068,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
74482.757812,20.689655,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
77462.070312,21.517242,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
80441.382812,22.344828,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
83420.687500,23.172413,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
86400.000000,24.000000,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974,-3.223974
