x,y,t_h,T_K,alpha,q_Wm3
0.01,0.01,0.0,286.43085,0.0,1556.1525
0.01,0.01,0.51282054,287.01672,0.018971615,1526.7839
0.01,0.01,1.0256411,287.58264,0.03758368,1497.7312
0.01,0.01,1.5384616,288.12885,0.055840157,1469.0034
0.01,0.01,2.0512822,288.65558,0.07374512,1440.6097
0.01,0.01,2.5641026,289.16315,0.09130273,1412.559
0.01,0.01,3.0769231,289.65186,0.10851722,1384.8582
0.01,0.01,3.5897436,290.12198,0.12539303,1357.514
0.01,0.01,4.1025643,290.57382,0.14193447,1330.5327
0.01,0.01,4.6153846,291.00763,0.15814614,1303.9192
0.01,0.01,5.1282053,291.4237,0.17403248,1277.6782
0.01,0.01,5.6410255,291.8223,0.18959823,1251.8135
0.01,0.01,6.1538463,292.20364,0.20484787,1226.3286
0.01,0.01,6.6666665,292.5681,0.2197863,1201.226
0.01,0.01,7.179487,292.9159,0.23441812,1176.5079
0.01,0.01,7.6923075,293.24728,0.24874803,1152.1759
0.01,0.01,8.205129,293.56256,0.26278096,1128.2308
0.01,0.01,8.717949,293.862,0.27652147,1104.6737
0.01,0.01,9.230769,294.14578,0.2899745,1081.5042
0.01,0.01,9.743589,294.41425,0.30314475,1058.7222
0.01,0.01,10.256411,294.6676,0.31603694,1036.3269
0.01,0.01,10.769231,294.90613,0.32865587,1014.3172
0.01,0.01,11.282051,295.13004,0.34100634,992.6917
0.01,0.01,11.794871,295.33963,0.3530929,971.44836
0.01,0.01,12.307693,295.53516,0.36492047,950.58545
0.01,0.01,12.820513,295.71674,0.3764935,930.10004
0.01,0.01,13.333333,295.8847,0.3878168,909.9899
0.01,0.01,13.846154,296.03934,0.39889485,890.2514
0.01,0.01,14.358974,296.18088,0.40973213,870.8824
0.01,0.01,14.871795,296.3094,0.4203334,851.8786
0.01,0.01,15.384615,296.42523,0.43070298,833.23676
0.01,0.01,15.897436,296.52856,0.44084537,814.9531
0.01,0.01,16.410257,296.61975,0.45076478,797.02374
0.01,0.01,16.923077,296.69882,0.4604658,779.44446
0.01,0.01,17.435898,296.76605,0.46995255,762.21124
0.01,0.01,17.948717,296.82175,0.4792293,745.3197
0.01,0.01,18.461538,296.86612,0.4883003,728.7652
0.01,0.01,18.97436,296.89926,0.49716955,712.5434
0.01,0.01,19.487179,296.92142,0.50584114,696.6499
0.01,0.01,20.0,296.93286,0.5143192,681.0797
0.01,0.03,0.0,287.11227,0.0,1557.6447
0.01,0.03,0.51282054,287.6935,0.0189894,1528.1787
0.01,0.03,1.0256411,288.25482,0.037617996,1499.0328
0.01,0.03,1.5384616,288.79663,0.055890016,1470.216
0.01,0.03,2.0512822,289.3191,0.07380932,1441.7385
0.01,0.03,2.5641026,289.8225,0.091380335,1413.6075
0.01,0.03,3.0769231,290.30725,0.10860724,1385.8308
0.01,0.03,3.5897436,290.7735,0.12549463,1358.4141
0.01,0.03,4.1025643,291.22156,0.14204666,1331.3643
0.01,0.03,4.6153846,291.65164,0.15826812,1304.6854
0.01,0.03,5.1282053,292.06418,0.17416355,1278.3826
0.01,0.03,5.6410255,292.45935,0.18973759,1252.4594
0.01,0.03,6.1538463,292.83737,0.20499489,1226.9188
0.01,0.03,6.6666665,293.1986,0.21994026,1201.7638
0.01,0.03,7.179487,293.54324,0.23457834,1176.996
0.01,0.03,7.6923075,293.8716,0.24891403,1152.6171
0.01,0.03,8.205129,294.18396,0.26295215,1128.6277
0.01,0.03,8.717949,294.48053,0.27669722,1105.0284
0.01,0.03,9.230769,294.7615,0.2901544,1081.8197
0.01,0.03,9.743589,295.0273,0.30332825,1059.0005
0.01,0.03,10.256411,295.2781,0.31622365,1036.5703
0.01,0.03,10.769231,295.51407,0.3288454,1014.5275
0.01,0.03,11.282051,295.73557,0.3411982,992.8712
0.01,0.03,11.794871,295.94278,0.3532869,971.59894
0.01,0.03,12.307693,296.13596,0.36511606,950.7085
0.01,0.03,12.820513,296.31534,0.3766905,930.19775
0.01,0.03,13.333333,296.48117,0.38801485,910.0635
0.01,0.03,13.846154,296.6337,0.39909363,890.303
0.01,0.03,14.358974,296.7731,0.4099315,870.91296
0.01,0.03,14.871795,296.89966,0.42053303,851.8898
0.01,0.03,15.384615,297.01358,0.4309026,833.22986
0.01,0.03,15.897436,297.11505,0.44104475,814.9294
0.01,0.03,16.410257,297.20435,0.45096388,796.9843
0.01,0.03,16.923077,297.28168,0.46066433,779.3907
0.01,0.03,17.435898,297.34723,0.47015026,762.1441
0.01,0.03,17.948717,297.4012,0.47942615,745.24
0.01,0.03,18.461538,297.4439,0.48849604,728.67426
0.01,0.03,18.97436,297.47543,0.4973641,712.44214
0.01,0.03,19.487179,297.496,0.5060344,696.53894
0.01,0.03,20.0,297.50592,0.514511,680.9599
0.01,0.05,0.0,287.70923,0.0,1558.9708
0.01,0.05,0.51282054,288.2861,0.01900515,1529.4156
0.01,0.05,1.0256411,288.84323,0.037648454,1500.1852
0.01,0.05,1.5384616,289.38092,0.05593414,1471.2882
0.01,0.05,2.0512822,289.89938,0.07386622,1442.7344
0.01,0.05,2.5641026,290.39908,0.09144902,1414.5312
0.01,0.05,3.0769231,290.88016,0.10868683,1386.6857
0.01,0.05,3.5897436,291.34286,0.12558433,1359.2042
0.01,0.05,4.1025643,291.78748,0.14214575,1332.0924
0.01,0.05,4.6153846,292.21436,0.15837577,1305.3552
0.01,0.05,5.1282053,292.62375,0.17427912,1278.9974
0.01,0.05,5.6410255,293.01587,0.18986046,1253.0221
0.01,0.05,6.1538463,293.391,0.20512438,1227.4325
0.01,0.05,6.6666665,293.74942,0.2200757,1202.2308
0.01,0.05,7.179487,294.09137,0.2347193,1177.419
0.01,0.05,7.6923075,294.41708,0.24905996,1152.9988
0.01,0.05,8.205129,294.72693,0.26310244,1128.9703
0.01,0.05,8.717949,295.02112,0.27685165,1105.3342
0.01,0.05,9.230769,295.29987,0.29031226,1082.0907
0.01,0.05,9.743589,295.56335,0.3034893,1059.2389
0.01,0.05,10.256411,295.81198,0.31638747,1036.7781
0.01,0.05,10.769231,296.04596,0.32901156,1014.7066
0.01,0.05,11.282051,296.2654,0.3413664,993.023
0.01,0.05,11.794871,296.47073,0.35345674,971.7256
0.01,0.05,12.307693,296.6621,0.36528736,950.8114
0.01,0.05,12.820513,296.83975,0.3768629,930.2784
0.01,0.05,13.333333,297.0039,0.38818818,910.1236
0.01,0.05,13.846154,297.15482,0.39926758,890.34357
0.01,0.05,14.358974,297.29266,0.41010582,870.93555
0.01,0.05,14.871795,297.41772,0.42070743,851.8956
0.01,0.05,15.384615,297.5302,0.431077,833.2201
0.01,0.05,15.897436,297.6303,0.44121894,814.90515
0.01,0.05,16.410257,297.71832,0.45113772,796.9466
0.01,0.05,16.923077,297.79437,0.46083754,779.3406
0.01,0.05,17.435898,297.8587,0.4703229,762.0825
0.01,0.05,17.948717,297.91153,0.47959793,745.16797
0.01,0.05,18.461538,297.95306,0.4886669,728.5925
0.01,0.05,18.97436,297.9835,0.49753392,712.3514
0.01,0.05,19.487179,298.00305,0.50620294,696.4401
0.01,0.05,20.0,298.012,0.5146783,680.8537
0.01,0.07,0.0,288.22363,0.0,1560.133
0.01,0.07,0.51282054,288.7964,0.01901897,1530.4973
0.01,0.07,1.0256411,289.34955,0.037675105,1501.1906
0.01,0.07,1.5384616,289.88348,0.05597268,1472.2219
0.01,0.07,2.0512822,290.39838,0.07391582,1443.5996
0.01,0.07,2.5641026,290.8946,0.09150895,1415.3318
0.01,0.07,3.0769231,291.37234,0.108756244,1387.4253
0.01,0.07,3.5897436,291.8319,0.12566245,1359.886
0.01,0.07,4.1025643,292.27353,0.14223191,1332.7198
0.01,0.07,4.6153846,292.6975,0.1584694,1305.9315
0.01,0.07,5.1282053,293.10406,0.17437951,1279.5249
0.01,0.07,5.6410255,293.49356,0.1899669,1253.5035
0.01,0.07,6.1538463,293.8662,0.20523657,1227.8707
0.01,0.07,6.6666665,294.22217,0.2201931,1202.6282
0.01,0.07,7.179487,294.56186,0.2348413,1177.7783
0.01,0.07,7.6923075,294.88544,0.24918613,1153.3219
0.01,0.07,8.205129,295.1932,0.26323247,1129.2594
0.01,0.07,8.717949,295.48535,0.27698493,1105.5916
0.01,0.07,9.230769,295.76227,0.2904486,1082.3179
0.01,0.07,9.743589,296.02405,0.30362824,1059.438
0.01,0.07,10.256411,296.27097,0.31652865,1036.9507
0.01,0.07,10.769231,296.50336,0.32915473,1014.85455
0.01,0.07,11.282051,296.7213,0.34151122,993.1479
0.01,0.07,11.794871,296.9252,0.3536031,971.8286
0.01,0.07,12.307693,297.11523,0.36543477,950.8945
0.01,0.07,12.820513,297.29163,0.3770113,930.34247
0.01,0.07,13.333333,297.45456,0.3883372,910.16986
0.01,0.07,13.846154,297.60437,0.39941695,890.37366
0.01,0.07,14.358974,297.74112,0.41025555,870.9503
0.01,0.07,14.871795,297.8652,0.42085722,851.89624
0.01,0.07,15.384615,297.97675,0.43122676,833.2076
0.01,0.07,15.897436,298.07593,0.44136846,814.8805
0.01,0.07,16.410257,298.16318,0.45128688,796.91077
0.01,0.07,16.923077,298.23843,0.46098614,779.2943
0.01,0.07,17.435898,298.30206,0.4704709,762.02655
0.01,0.07,17.948717,298.3542,0.4797452,745.10333
0.01,0.07,18.461538,298.3951,0.48881334,728.5197
0.01,0.07,18.97436,298.425,0.4976794,712.27124
0.01,0.07,19.487179,298.444,0.5063474,696.3533
0.01,0.07,20.0,298.45242,0.51482177,680.7608
0.01,0.09,0.0,288.65723,0.0,1561.1339
0.01,0.09,0.51282054,289.2261,0.019030862,1531.4264
0.01,0.09,1.0256411,289.7757,0.037698,1502.0518
0.01,0.09,1.5384616,290.30615,0.0560058,1473.0188
0.01,0.09,2.0512822,290.81775,0.073958375,1444.3364
0.01,0.09,2.5641026,291.31082,0.09156016,1416.0115
0.01,0.09,3.0769231,291.7856,0.10881549,1388.0513
0.01,0.09,3.5897436,292.2423,0.12572911,1360.4614
0.01,0.09,4.1025643,292.6813,0.14230534,1333.2477
0.01,0.09,4.6153846,293.1027,0.15854904,1306.4147
0.01,0.09,5.1282053,293.50696,0.17446484,1279.966
0.01,0.09,5.6410255,293.89413,0.19005749,1253.905
0.01,0.09,6.1538463,294.26465,0.2053318,1228.2352
0.01,0.09,6.6666665,294.61865,0.22029261,1202.9576
0.01,0.09,7.179487,294.95645,0.23494467,1178.0747
0.01,0.09,7.6923075,295.27832,0.24929294,1153.5875
0.01,0.09,8.205129,295.5844,0.2633423,1129.4961
0.01,0.09,8.717949,295.87506,0.27709758,1105.8011
0.01,0.09,9.230769,296.15048,0.2905637,1082.5023
0.01,0.09,9.743589,296.41095,0.3037454,1059.5986
0.01,0.09,10.256411,296.65665,0.31664765,1037.0892
0.01,0.09,10.769231,296.88788,0.32927537,1014.9723
0.01,0.09,11.282051,297.1048,0.3416332,993.2464
0.01,0.09,11.794871,297.30774,0.3537261,971.90894
0.01,0.09,12.307693,297.49686,0.36555868,950.95795
0.01,0.09,12.820513,297.6725,0.3771359,930.39044
0.01,0.09,13.333333,297.8347,0.38846225,910.2032
0.01,0.09,13.846154,297.9838,0.39954248,890.39343
0.01,0.09,14.358974,298.11996,0.41038114,870.9576
0.01,0.09,14.871795,298.24353,0.42098287,851.8917
0.01,0.09,15.384615,298.3546,0.4313523,833.1923
0.01,0.09,15.897436,298.4535,0.4414937,814.85535
0.01,0.09,16.410257,298.5403,0.45141178,796.8765
0.01,0.09,16.923077,298.61533,0.46111056,779.25165
0.01,0.09,17.435898,298.6787,0.47059467,761.97626
0.01,0.09,17.948717,298.7307,0.47986835,745.0459
0.01,0.09,18.461538,298.77148,0.4889357,728.4558
0.01,0.09,18.97436,298.80124,0.49780095,712.20154
0.01,0.09,19.487179,298.82025,0.5064682,696.27826
0.01,0.09,20.0,298.82864,0.51494145,680.68085
0.01,0.11,0.0,289.01178,0.0,1561.9758
0.01,0.11,0.51282054,289.5772,0.019040823,1532.2048
0.01,0.11,1.0256411,290.12335,0.03771714,1502.7705
0.01,0.11,1.5384616,290.65067,0.056033492,1473.6815
0.01,0.11,2.0512822,291.1593,0.07399389,1444.9464
0.01,0.11,2.5641026,291.64957,0.09160288,1416.5724
0.01,0.11,3.0769231,292.1217,0.10886483,1388.5657
0.01,0.11,3.5897436,292.57593,0.12578444,1360.9324
0.01,0.11,4.1025643,293.01263,0.1423663,1333.678
0.01,0.11,4.6153846,293.4319,0.15861505,1306.8068
0.01,0.11,5.1282053,293.834,0.1745354,1280.3221
0.01,0.11,5.6410255,294.2194,0.19013223,1254.2278
0.01,0.11,6.1538463,294.58813,0.2054103,1228.5265
0.01,0.11,6.6666665,294.94055,0.22037455,1203.2198
0.01,0.11,7.179487,295.2769,0.23502964,1178.3093
0.01,0.11,7.6923075,295.59732,0.24938065,1153.7966
0.01,0.11,8.205129,295.90222,0.26343253,1129.6815
0.01,0.11,8.717949,296.19177,0.27718988,1105.9644
0.01,0.11,9.230769,296.46616,0.2906578,1082.6447
0.01,0.11,9.743589,296.72574,0.30384117,1059.7216
0.01,0.11,10.256411,296.9706,0.31674492,1037.194
0.01,0.11,10.769231,297.20114,0.32937384,1015.06036
0.01,0.11,11.282051,297.4175,0.34173256,993.31885
0.01,0.11,11.794871,297.61984,0.35382625,971.96674
0.01,0.11,12.307693,297.80856,0.36565953,951.0024
0.01,0.11,12.820513,297.9838,0.37723717,930.42224
0.01,0.11,13.333333,298.14572,0.38856384,910.22345
0.01,0.11,13.846154,298.29468,0.3996442,890.40295
0.01,0.11,14.358974,298.43076,0.410483,870.9572
0.01,0.11,14.871795,298.55423,0.4210847,851.8823
0.01,0.11,15.384615,298.66534,0.43145388,833.1746
0.01,0.11,15.897436,298.76425,0.44159502,814.8299
0.01,0.11,16.410257,298.85126,0.45151275,796.84393
0.01,0.11,16.923077,298.9264,0.46121112,779.21265
0.01,0.11,17.435898,298.99008,0.4706948,761.9313
0.01,0.11,17.948717,299.04236,0.4799678,744.9956
0.01,0.11,18.461538,299.08347,0.48903447,728.40076
0.01,0.11,18.97436,299.11365,0.49789906,712.1419
0.01,0.11,19.487179,299.1331,0.5065655,696.21466
0.01,0.11,20.0,299.14197,0.5150379,680.6139
0.01,0.13,0.0,289.28912,0.0,1562.6621
0.01,0.13,0.51282054,289.85123,0.019048855,1532.8358
0.01,0.13,1.0256411,290.39435,0.037732735,1503.3495
